hybrid_type,count
miRNA-mRNA,175301
mRNA-mRNA,94208
miRNA-pseudogene,51490
mRNA-pseudogene,39433
miRNA-miRNA,27194
pseudogene-pseudogene,24732
miRNA-pr-tr,4497
mRNA-tRNA,3122
pseudogene-tRNA,2739
mRNA-pr-tr,2479
miRNA-tRNA,2214
miRNA-miscRNA,1282
miRNA-snRNA,1197
pr-tr-pseudogene,1126
pr-tr-pr-tr,801
miscRNA-pseudogene,712
mRNA-miscRNA,709
pseudogene-snRNA,542
miRNA-snoRNA,536
miRNA-lincRNA,520
mRNA-snRNA,414
pseudogene-snoRNA,361
lincRNA-mRNA,350
mRNA-snoRNA,344
snoRNA-snoRNA,333
lincRNA-pseudogene,153
miscRNA-miscRNA,151
tRNA-tRNA,79
snRNA-snRNA,65
pr-tr-tRNA,41
lincRNA-pr-tr,37
pr-tr-snoRNA,30
miscRNA-pr-tr,30
lincRNA-lincRNA,21
kshv_microRNA-mRNA,19
miscRNA-tRNA,17
pr-tr-snRNA,14
snRNA-snoRNA,9
lincRNA-tRNA,7
kshv_microRNA-pseudogene,6
miscRNA-snRNA,6
miscRNA-snoRNA,6
lincRNA-miscRNA,5
lincRNA-snRNA,5
snoRNA-tRNA,4
snRNA-tRNA,4
miRNA-kshv_microRNA,3
lincRNA-snoRNA,3